state_id,label,betweenness,eigenvector,out_degree,rank_betweenness,rank_eigenvector,rank_out_degree
6,CA,0.506122,0.309053,1.000000,1,2,1
48,TX,0.262857,0.371410,0.751976,2,1,2
36,NY,0.203265,0.290221,0.506828,3,3,7
42,PA,0.167755,0.241298,0.679378,4,7,4
17,IL,0.144898,0.252299,0.750789,5,6,3
25,MA,0.113061,0.097417,0.276643,6,22,17
39,OH,0.100816,0.267610,0.592153,7,4,5
53,WA,0.097959,0.102527,0.265489,8,21,18
27,MN,0.060000,0.084294,0.282741,9,26,16
13,GA,0.047347,0.197682,0.470041,10,11,10
8,CO,0.040000,0.069734,0.135678,11,28,31
37,NC,0.035102,0.150187,0.436896,12,13,12
19,IA,0.025714,0.064726,0.230628,13,31,22
51,VA,0.024898,0.128090,0.237228,14,15,20
24,MD,0.020000,0.104622,0.164852,15,20,28
22,LA,0.015510,0.111356,0.192163,16,17,25
47,TN,0.010612,0.164833,0.481051,17,12,9
29,MO,0.005714,0.111091,0.309702,18,18,14
26,MI,0.004082,0.216665,0.455857,19,8,11
18,IN,0.002857,0.200740,0.484304,20,10,8
44,RI,0.000000,0.011950,0.060230,21,46,40
45,SC,0.000000,0.110592,0.231858,21,19,21
46,SD,0.000000,0.011894,0.037304,21,47,43
49,UT,0.000000,0.060815,0.132414,21,33,32
40,OK,0.000000,0.093710,0.121389,21,24,33
50,VT,0.000000,0.011874,0.030173,21,48,45
38,ND,0.000000,0.025825,0.042310,21,40,42
54,WV,0.000000,0.037784,0.062533,21,36,39
41,OR,0.000000,0.066402,0.144813,21,30,30
35,NM,0.000000,0.031639,0.023833,21,38,46
1,AL,0.000000,0.092047,0.229895,21,25,23
33,NH,0.000000,0.027337,0.063342,21,39,38
2,AK,0.000000,0.009274,0.005832,21,51,49
4,AZ,0.000000,0.097213,0.153863,21,23,29
5,AR,0.000000,0.054696,0.117005,21,35,34
9,CT,0.000000,0.066599,0.207223,21,29,24
10,DE,0.000000,0.019866,0.065058,21,42,36
11,DC,0.000000,0.011182,0.001796,21,49,50
12,FL,0.000000,0.263732,0.257017,21,5,19
15,HI,0.000000,0.016752,0.001535,21,45,51
16,ID,0.000000,0.018993,0.046488,21,43,41
20,KS,0.000000,0.059335,0.184869,21,34,26
21,KY,0.000000,0.135501,0.290912,21,14,15
23,ME,0.000000,0.018961,0.034035,21,44,44
28,MS,0.000000,0.076198,0.173923,21,27,27
55,WI,0.000000,0.127759,0.340689,21,16,13
30,MT,0.000000,0.023661,0.017099,21,41,48
31,NE,0.000000,0.031901,0.104429,21,37,35
32,NV,0.000000,0.063537,0.064484,21,32,37
34,NJ,0.000000,0.211918,0.522331,21,9,6
56,WY,0.000000,0.009351,0.019084,21,50,47
